username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017/10/25 08:03;83;88;"Police officer finds couple passed out on opioids in car with baby in back seat. Read more: http://nbcnews.to/2gAmiXQ pic.twitter.com/2eAGoM6BM6";;;;"922961877646188544";https://twitter.com/NBCNews/status/922961877646188544
;2017/10/25 07:51;88;164;"NEW: Senate passed a $36.5 billion supplemental disaster funding bill. The bill, which already passed in the House, now goes to president.";;;;"922958820363722752";https://twitter.com/NBCNews/status/922958820363722752
;2017/10/25 07:45;29;43;"JUST IN: Cuban officials reject blame for U.S. diplomats' mystery ailments https://nbcnews.trib.al/eQyUGzE pic.twitter.com/VmlP0kQjR4";;;;"922957187420446720";https://twitter.com/NBCNews/status/922957187420446720
;2017/10/25 07:30;61;100;"FBI releases 1,500 pages of documents on Sandy Hook school massacre https://nbcnews.trib.al/5tBXsMl pic.twitter.com/MlWkQKGXLk";;;;"922953425276624896";https://twitter.com/NBCNews/status/922953425276624896
;2017/10/25 06:46;55;146;"Detained pregnant teen can get an abortion, appeals court rules https://nbcnews.trib.al/m3iDjXz pic.twitter.com/eNAMWrGaDc";;;;"922942302976438272";https://twitter.com/NBCNews/status/922942302976438272
;2017/10/25 04:48;282;663;"Sen. Flake: The notion that one should stay silent as norms that keep America strong are undermined is ahistoric and profoundly misguidedpic.twitter.com/p36pY8dML2";;;;"922912595094405125";https://twitter.com/NBCNews/status/922912595094405125
;2017/10/25 01:35;56;63;"Father of missing Texas girl charged after remains found https://nbcnews.trib.al/wAXQH7U pic.twitter.com/knKYvniJJ8";;;;"922864047384678401";https://twitter.com/NBCNews/status/922864047384678401
;2017/10/25 00:59;77;161;"Stephen Hawking's 1966 Ph.D thesis crashed University of Cambridge's site https://nbcnews.trib.al/5eGzLKh pic.twitter.com/JCGs9x4vgo";;;;"922854970982064128";https://twitter.com/NBCNews/status/922854970982064128
;2017/10/25 00:51;605;1509;"Sen. Corker: "You would think he would... act like a president of the United States, but that's just not going to be the case, apparently"pic.twitter.com/5JbjBVsFUH";;;;"922853057779716097";https://twitter.com/NBCNews/status/922853057779716097
;2017/10/25 00:48;3320;7775;"Corker: "For young people to be watching... someone of this mentality as pres. of U.S. is something that I think is debasing to our country"pic.twitter.com/ogjFBKn4Fc";;;;"922852386892378113";https://twitter.com/NBCNews/status/922852386892378113
;2017/10/25 00:03;164;115;"• 71% of customers in St. Thomas are without power, according to FEMA • 98.4% of customers in St. Croix are without power";;;;"922841054440763392";https://twitter.com/NBCNews/status/922841054440763392
;2017/10/24 19:42;87;91;"Hurricane Harvey didn't discriminate. The recovery is a different matter. https://nbcnews.trib.al/5RxoIn9 pic.twitter.com/eLPAWZnDbN";;;;"922775191096315904";https://twitter.com/NBCNews/status/922775191096315904
;2017/10/24 12:10;1548;1855;"JUST IN: Climate change costing taxpayers billions of dollars in disaster relief, according to new government study https://nbcnews.trib.al/IhI4w1i pic.twitter.com/tQXwVQgQjG";;;;"922661460966301696";https://twitter.com/NBCNews/status/922661460966301696
;2017/10/24 10:29;155;99;"Former Ohio police officer breaks ankle monitor and flees ahead of rape trial https://nbcnews.trib.al/Gb6d4nO pic.twitter.com/v9QoGptz0k";;;;"922636031236636672";https://twitter.com/NBCNews/status/922636031236636672
;2017/10/24 09:00;51;94;"California wildfires left Chris Keys’ home in ashes, but as a previously homeless person he wants to help the new population of displaced.pic.twitter.com/OUFIscH9wv";;;;"922613611025063936";https://twitter.com/NBCNews/status/922613611025063936
;2017/10/24 08:30;153;151;"A new study says you're more likely to die from pollution than war. Watch more on "Stay Tuned": http://bit.ly/2zM6DwX pic.twitter.com/tN9WnXKO2l";;;;"922606064012587009";https://twitter.com/NBCNews/status/922606064012587009
