username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017/10/25 08:55;20;15;"Here's how students in Atlanta's public schools are getting extra help years after a massive cheating scandal. @LisaStark reports #PBSNewspic.twitter.com/bStG9BUV6z";;@LisaStark;#PBSNewspic;"922974955372822531";https://twitter.com/NewsHour/status/922974955372822531
;2017/10/25 08:21;16;13;"Divides in GOP are "notable ... The larger story is that Republicans are extremely close to a historic victory on tax reform" — @btpmcguirepic.twitter.com/e0Cl1Ixwh6";;@btpmcguirepic;;"922966314028642305";https://twitter.com/NewsHour/status/922966314028642305
;2017/10/25 07:31;35;29;"The Trump administration announced tougher screening rules for refugees this evening — on the same day the president's refugee ban ended.pic.twitter.com/KZoowG2gdy";;;;"922953666339815424";https://twitter.com/NewsHour/status/922953666339815424
;2017/10/25 07:26;66;44;"Russia, by using its Security Council veto today, blocked the United Nations from continuing a chemical weapons investigation in #Syria.pic.twitter.com/cMUk0gUvyv";;;#Syria;"922952384233447424";https://twitter.com/NewsHour/status/922952384233447424
;2017/10/25 07:16;21;29;"If Sens. Flake + Corker are getting support from fellow Republicans "it's quiet support that's not public," @ericawerner tells @JudyWoodruffpic.twitter.com/wqbPWSbH0A";;@ericawerner @JudyWoodruffpic;;"922950067538903040";https://twitter.com/NewsHour/status/922950067538903040
;2017/10/25 07:12;20;40;"On a day Pres. Trump visited Capitol Hill, Sen. Bob Corker traded insults with POTUS and Sen. Jeff Flake said he'll retire. From @LisaDNewspic.twitter.com/yHDjikwl9v";;@LisaDNewspic;;"922948934305136643";https://twitter.com/NewsHour/status/922948934305136643
;2017/10/25 06:21;34;79;"WATCH: @juliepercha: "What do you say to those in the [Steve] Bannon wing of the [Republican] Party?" Sen. Jeff Flake: "Nothing at all."pic.twitter.com/WiCEvDhgNr";;@juliepercha;;"922936088456519681";https://twitter.com/NewsHour/status/922936088456519681
;2017/10/25 06:00;10;17;""Whatever was beautiful, whatever was interesting, he wanted to know." TONIGHT: @WalterIsaacson discusses his new book on #LeonardoDaVincipic.twitter.com/BsA5pQKMM3";;@WalterIsaacson;#LeonardoDaVincipic;"922930709240602624";https://twitter.com/NewsHour/status/922930709240602624
;2017/10/25 04:00;37;54;"WATCH: @SenBobCorker calls out President Trump for "untruths", says he's out to "divide the nation."pic.twitter.com/aww8fq2zpo";;@SenBobCorker;;"922900514408349696";https://twitter.com/NewsHour/status/922900514408349696
;2017/10/25 03:59;35;69;"NEWS ALERT from @AP: US appeals court in DC rules immigrant teen being held in federal custody can obtain abortion.";;@AP;;"922900326545526786";https://twitter.com/NewsHour/status/922900326545526786
