username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2017/10/31 09:54;30;65;" In traveling across Indonesia, its diversity and complexity, its paradoxes and tensions are all apparent. http://n.pr/2z6bJWP pic.twitter.com/RGzmwygwNw";;;;"925164125516378112";https://twitter.com/NPR/status/925164125516378112
;2017/10/31 09:37;332;308;"It's a touchy subject, but we need to know: What are your thoughts on candy corn?";;;;"925159651573891074";https://twitter.com/NPR/status/925159651573891074
;2017/10/31 08:30;437;441;"31% of black Americans say the fear of discrimination has led them to avoid calling the policehttp://n.pr/2xBUrxa ";;;;"925142777347809280";https://twitter.com/NPR/status/925142777347809280
;2017/10/31 07:57;92;241;"Counsel's prepared remarks: "The Foreign interference we saw is reprehensible and outrageous and opened a new battleground for our company."";;;;"925134602926198784";https://twitter.com/NPR/status/925134602926198784
;2017/10/31 07:54;111;183;"In prepared remarks ahead of testimony, Facebook says accounts created by IRA spent $100k on 3,000 ads, promoting 120 pages they'd set up.";;;;"925133878607667201";https://twitter.com/NPR/status/925133878607667201
;2017/10/31 07:53;824;1214;"Facebook will tell Congress on Tuesday that 126 million users saw Russian-backed content, pushed by umbrella group Internet Research Agency.";;;;"925133482799632384";https://twitter.com/NPR/status/925133482799632384
;2017/10/31 06:50;280;415;"Dennis Banks, Native American Activist And Wounded Knee Occupier, Dies At 80http://n.pr/2yXaXfn ";;;;"925117762661257216";https://twitter.com/NPR/status/925117762661257216
;2017/10/31 06:50;62;166;"Kevin Spacey has been widely criticized for using his statement as a platform for coming out as gay.http://n.pr/2yYvujO ";;;;"925117613327503362";https://twitter.com/NPR/status/925117613327503362
;2017/10/31 05:28;178;723;"President Trump's would-be ban on trans service members in the military has been blocked for the foreseeable future.http://n.pr/2zSxZkv ";;;;"925096975174737920";https://twitter.com/NPR/status/925096975174737920
;2017/10/31 04:06;471;278;"Open enrollment for people who buy their own health insurance starts Wednesday. Here's what to know:http://n.pr/2zQurPB ";;;;"925076341006962688";https://twitter.com/NPR/status/925076341006962688
;2017/10/31 03:36;92;140;"You can read all of the documents in the Papadopoulos plea here: http://n.pr/2zSAMKl ";;;;"925068903394443266";https://twitter.com/NPR/status/925068903394443266
;2017/10/31 03:34;34;107;"The details in the plea are the earliest connection so far between Trump campaign officials and individuals close to the Russian government";;;;"925068461369421825";https://twitter.com/NPR/status/925068461369421825
;2017/10/31 03:04;35;102;"A sergeant's mission to return home to Puerto Rico http://n.pr/2hn2Dv8 pic.twitter.com/YsPqoioh2O";;;;"925060905062293506";https://twitter.com/NPR/status/925060905062293506
;2017/10/31 02:52;180;577;"Federal Judge Blocks Trump's Ban On Transgender Service Members http://n.pr/2yXKcqY ";;;;"925057732473786368";https://twitter.com/NPR/status/925057732473786368
;2017/10/31 02:32;234;1028;"BREAKING: A federal judge has granted a preliminary injunction in a case brought by a number of transgender service members";;;;"925052853395378176";https://twitter.com/NPR/status/925052853395378176
;2017/10/31 00:55;77;180;"One 4-year-old thought Alexa was a person who lived in an apartment outside his window. And he loved her.http://n.pr/2zTjDA2 ";;;;"925028278762577920";https://twitter.com/NPR/status/925028278762577920
;2017/10/31 00:29;247;588;"Trump's Former Foreign Policy Advisor Pleads Guilty To Lying To The FBIhttp://n.pr/2hn6hW8 ";;;;"925021874790137856";https://twitter.com/NPR/status/925021874790137856
;2017/10/30 23:09;84;191;"The indictment charges Manafort and Gates with the extensive use of offshore back accounts, through which flowed more than $75 million";;;;"925001678696472579";https://twitter.com/NPR/status/925001678696472579
;2017/10/30 02:38;1223;1817;"Heart disease. Low birth weight. A professor says experiencing discrimination has a real effect on people's health.http://n.pr/2zO7Cfw ";;;;"924691803546066946";https://twitter.com/NPR/status/924691803546066946
;2017/10/29 12:18;649;661;"Cities and local governments are working to get the word out about open enrollment after ACA marketing was slashed.http://n.pr/2zMSzCN ";;;;"924475380743864320";https://twitter.com/NPR/status/924475380743864320
;2017/10/29 11:40;190;495;"Fats Domino's sound and influence can be found in this annotated playlist of 50 essential recordings.http://n.pr/2zNX7st ";;;;"924465816313016320";https://twitter.com/NPR/status/924465816313016320
;2017/10/29 04:58;19;75;". @nprpolitics' Ron Elving has ghost tales to tell in this special Halloween episode of Ron’s Office Hours. https://www.youtube.com/watch?v=3RpGzykNyQA&utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=2055 …pic.twitter.com/RiPYKppuRM";;@nprpolitics;;"924364647234387968";https://twitter.com/NPR/status/924364647234387968
;2017/10/29 03:45;113;377;"Brian May, a Ph.D. astrophysicist (and oh yeah, a rock star) flexed his Dairy Queen knowledge. on @waitwait.http://www.npr.org/2017/10/28/560384990/not-my-job-queens-brian-may-gets-quizzed-about-dairy-queen?utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=2055 …";;@waitwait;;"924346278653321217";https://twitter.com/NPR/status/924346278653321217
;2017/10/28 23:46;894;540;"Because the ACA marketing budget was slashed, many may not know that open enrollment is shorter this year.http://www.npr.org/sections/health-shots/2017/10/28/560225509/with-federal-funds-cut-others-must-lead-health-insurance-sign-up-efforts?utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=2055 …";;;;"924286132187213825";https://twitter.com/NPR/status/924286132187213825
;2017/10/28 23:15;143;513;""Thank Your For Your Service" is about U.S. soldiers coming home after serving during the "surge" in Iraq in 2007.http://www.npr.org/2017/10/28/560373295/in-thank-you-for-your-service-the-fight-begins-after-iraq?utm_source=twitter.com&utm_medium=social&utm_campaign=npr&utm_term=nprnews&utm_content=2055 …";;;;"924278331603693569";https://twitter.com/NPR/status/924278331603693569
;2017/10/28 06:21;77;77;"Many black men have fallen out of the workforce, says the head of the National Urban League. http://n.pr/2iFOKfc pic.twitter.com/2g2mXU711B";;;;"924023147770339328";https://twitter.com/NPR/status/924023147770339328
;2017/10/28 05:24;235;215;"Read the contract between Whitefish Energy Holdings & Puerto Rico's power authority. It's raised some eyebrows.http://n.pr/2zLAp4d ";;;;"924008985061220352";https://twitter.com/NPR/status/924008985061220352
;2017/10/28 05:20;50;80;"San Juan's tourist spots are now dark & empty. But some vendors keep showing up, out of habit & hope. Their stories: http://n.pr/2zKdc2f pic.twitter.com/kxZMinCk08";;;;"924007798848897024";https://twitter.com/NPR/status/924007798848897024
;2017/10/28 05:20;135;429;"Natalia Lafourcade's #TinyDesk performance is an ode to a magical time in Mexican popular music. WATCH: http://n.pr/2zJt6dl pic.twitter.com/36jMOBcNQQ";;;#TinyDesk;"924007798593261568";https://twitter.com/NPR/status/924007798593261568
;2017/10/27 22:30;43;67;"Many tourist hotspots in Puerto Rico are an empty ghost town. Still, a skeleton crew of vendors remain. http://n.pr/2zIQmba pic.twitter.com/sB4TYtlFQ3";;;;"923904673827913728";https://twitter.com/NPR/status/923904673827913728
;2017/10/27 09:41;506;558;"A new poll finds that 1 in 5 African-Americans avoid medical care because they're concerned about discriminationhttp://n.pr/2zIvKQG ";;;;"923711091234033664";https://twitter.com/NPR/status/923711091234033664
;2017/10/27 08:48;35;662;"DESSERTS. Apologies for our untrustworthy spelling.";;;;"923697767725146112";https://twitter.com/NPR/status/923697767725146112
;2017/10/27 07:55;189;225;"Pharmaceutical Founder Arrested In Alleged Nationwide Opioid Schemehttp://n.pr/2he362K ";;;;"923684429255471104";https://twitter.com/NPR/status/923684429255471104
;2017/10/27 06:40;217;329;"In a national survey by UCLA, teachers said students feel anxious and stressed by the current political climate. http://n.pr/2hdqIVa pic.twitter.com/iJgilU7KRK";;;;"923665662098268160";https://twitter.com/NPR/status/923665662098268160
;2017/10/27 05:06;36;117;"Thanks to a resurgence of scary movies and a desire to escape the real world, horror is back this Halloween. http://n.pr/2zHWyjF pic.twitter.com/hOcEA1yL0f";;;;"923642035403460610";https://twitter.com/NPR/status/923642035403460610
;2017/10/27 04:47;71;246;"Renoir's festive painting is the star of a new exhibition at The Phillips Collection in Washington, D.C.http://n.pr/2zGszZK ";;;;"923637103984029696";https://twitter.com/NPR/status/923637103984029696
;2017/10/27 02:05;82;87;"Farmers of water spinach, a staple for many Asian-American families, are struggling to recover from Hurricane Harvey http://n.pr/2hbAXte pic.twitter.com/kRMUQARaPC";;;;"923596526156427265";https://twitter.com/NPR/status/923596526156427265
;2017/10/27 01:34;255;341;"Ahead of today's expected release of #JFKfiles by @USNatArchives, some background on why it's happening: http://n.pr/2hc24o7 pic.twitter.com/WsKaf8m7ri";;@USNatArchives;#JFKfiles;"923588733840052229";https://twitter.com/NPR/status/923588733840052229
;2017/10/27 00:45;161;149;"Grand Canyon Grand Teton Joshua Tree Mount Rainier Rocky Mountain Olympic Sequoia & Kings Canyon Shenandoah Yellowstone Yosemite Zion (2/3)";;;;"923576212278206465";https://twitter.com/NPR/status/923576212278206465
;2017/10/27 00:44;612;525;"National parks affected by proposed entry fee increase: Acadia Arches Bryce Canyon Canyonlands Denali Glacier (1/3)http://n.pr/2zFuDRF ";;;;"923576142656831488";https://twitter.com/NPR/status/923576142656831488
;2017/10/27 00:27;39;22;"Passengers Flying To U.S. Face Heightened Screenings, New Questionshttp://n.pr/2yOTd5A ";;;;"923571812990050304";https://twitter.com/NPR/status/923571812990050304
;2017/10/27 00:10;82;42;"The Senate-approved resolution passed the House narrowly 216-212. The budget doesn't have the force of law & doesn't need Trump’s signature.";;;;"923567529074872320";https://twitter.com/NPR/status/923567529074872320
;2017/10/27 00:09;94;74;"Congress has approved a joint budget resolution, a critical step to pave the way for major tax legislation later this year.";;;;"923567354197544965";https://twitter.com/NPR/status/923567354197544965
;2017/10/27 00:08;154;77;"When the hospital discharged the child, who has cerebral palsy, Border Patrol agents took her into custody.http://n.pr/2zI9rKC ";;;;"923567038349676544";https://twitter.com/NPR/status/923567038349676544
;2017/10/26 22:48;16;43;"LCD Soundsystem's Gavin Rayna Russom on the dialogue between creation and identity #longreads http://n.pr/2hchNDN pic.twitter.com/M9L7SrKJel";;;#longreads;"923546763004432389";https://twitter.com/NPR/status/923546763004432389
;2017/10/26 22:40;30;52;"Skull Is Potentially From The Oldest Known Victim Of A Tsunamihttp://n.pr/2haoHsT ";;;;"923544761817997312";https://twitter.com/NPR/status/923544761817997312
;2017/10/26 22:17;321;403;"Teachers report that in the current political climate, some of their students fear for themselves and their familieshttp://n.pr/2haNKvQ ";;;;"923539144155987968";https://twitter.com/NPR/status/923539144155987968
;2017/10/26 21:25;123;310;"The work of President Trump's voter fraud commission has been stalled by the eight lawsuits filed against ithttp://n.pr/2haOlxR ";;;;"923525872514199552";https://twitter.com/NPR/status/923525872514199552
;2017/10/26 21:10;142;204;"Weed scientists (no, not that weed) have been thrust into the unfamiliar role of whistleblowerhttp://n.pr/2haiFsa ";;;;"923522095564210176";https://twitter.com/NPR/status/923522095564210176
;2017/10/26 21:00;73;44;"U.S. Official: Niger Ambush Of U.S. Troops Was 'Set Up' By Villagershttp://n.pr/2haHfcM ";;;;"923519598619541504";https://twitter.com/NPR/status/923519598619541504
;2017/10/26 20:43;1373;3784;"Tesla has used its solar panels and batteries to restore reliable electricity at San Juan's Hospital del Niñohttp://n.pr/2hbzbs5 ";;;;"923515303157526529";https://twitter.com/NPR/status/923515303157526529
;2017/10/26 19:51;148;235;"Many critics say the Trump administration continues to not respect the independence of the Justice Departmenthttp://n.pr/2hbILLN ";;;;"923502253918605313";https://twitter.com/NPR/status/923502253918605313
;2017/10/26 19:34;37;49;"Royal Cremation In Thailand To End Year Of Mourning For Beloved Kinghttp://n.pr/2haz6op ";;;;"923498145153040384";https://twitter.com/NPR/status/923498145153040384
